X,Y,Z
-2065.2504684574105,-51.50355504222278,4746.1685908273475
-4124.593600488993,656.4217682889297,-226.85450982604954
-2681.0131204523377,1087.711526686673,-2900.659973427675
-2472.706191347686,1062.6375310596836,-2972.337585223925
-2424.2581190875617,1249.1637681929635,-3034.6389418675653
-2137.623599936285,1572.8159957450193,-3450.7372291564434
-2091.7427116309136,1567.2573742123036,-3573.898389854236
-1837.1107106388358,749.3394005772565,-4315.089524497888
-1842.721434542884,-2480.344308744813,4174.849698948536
-2170.984752090458,1351.701344090138,-4112.021990167724
-2130.2316682774504,1597.1171995198845,-4167.366286351034
-2147.2908460530343,1568.5471373865469,-4191.705273768198
-2258.522392928276,1721.4473548093188,-4183.887981618941
-2215.8198857679663,1736.8867341593236,-4393.791091612738
-2282.00254274185,1936.5254342932722,-4331.330404685859
-2302.8399751091665,2021.3943231305911,-4382.25793406047
-2076.5322137240287,1542.7604519228146,-4811.0523994168325
-2174.956753056646,1443.4554598482407,-4858.102240726138
-2279.3946266121106,1507.9351455662375,-4940.52787854616
-2314.115126710844,1493.8827630930243,-5097.444132657321
-2365.5077853537055,1558.4029351309332,-5283.5442426457175
-2290.862860197182,1447.4273836555092,-5465.516751359842
-2350.949803865723,1503.797082629607,-5643.344314362865
-2412.495432315547,1369.8718351520517,-5774.2307993481745
-2396.4867654461077,1435.533981142458,-6041.4599041168985
-2404.426880344571,1523.5526408008022,-6285.3150259850445
-2520.8022708579047,1577.5518290620628,-6393.252835812706
-2633.356828244981,1588.3449925370785,-6546.04278179524
-2605.189926798673,1439.0410824273563,-6642.4876256793
-2649.6502999586187,1476.9427930378615,-6856.2386902870385
-2750.106199260401,1546.891275530794,-6911.051131971461
-2865.8731437143288,1598.7679055230042,-6986.983871334353
-2852.040140995943,1651.1235781675573,-7231.530556892566
-3046.8233612520735,1756.9818529088832,-7396.023012731506
-3113.690976574608,1760.32977944856,-7583.956171706822
-3011.4829939603997,1687.1612529989416,-7920.692786141281
-3006.442433987788,1816.931562084031,-8161.125360046259
-2890.458455012639,1942.5476760113456,-8533.093402149012
-3013.8204607114276,2040.021142970726,-8754.749721910519
-2929.35999784662,2013.7726114789139,-9034.448259721215
-2945.9800554063954,2064.9423641719327,-9206.126033810007
-2795.330716650327,2114.5663900475447,-9489.008519711935
-2773.6324520360886,2295.6695143080865,-9693.035717307062
-2889.992125512471,2360.389281917921,-9914.91420104939
-2981.804196365415,2461.238390799455,-10073.751547805592
-2919.844030177585,2303.2651235175053,-10371.28715587842
-2984.8104518787627,2430.546237259334,-10557.58104367102
-2867.3572182475514,2282.1719330672813,-10792.256368062974
-2830.132708545277,2248.755813489351,-10979.420107697051
-3120.813195273042,2226.758123958843,-11006.735944622924
-3329.660177107198,2409.8790496816723,-11003.035577474904
-3433.2938894705712,2726.2309331120196,-11151.070794806703
-3614.4866524938984,2755.877780064448,-11287.508823740183
-3770.5674195860583,2787.7753046546686,-11491.389904103251
-3792.1493707371483,2765.1249541543443,-11805.41391579719
-3976.882210125892,2837.1908628388046,-11902.633636799881
-4017.843591326816,2465.158862734662,-12137.35566531387
-4376.283266467853,2786.8374330444,-12182.862436181495
-2907.86286606927,1971.269056737353,-11884.528475722518
-4505.646464603881,2888.1791959518,-12476.132353424964
-4378.666221363289,2813.2490110024382,-12770.201129511175
-4568.903435813575,3008.872395626537,-12977.565403060076
-4581.507806552838,2890.489875168269,-13167.364752317933
-4741.241698500025,3062.7913491399313,-13101.575154165053
-5017.548386245043,3224.9676614636196,-13086.910639251202
-4921.892130792044,3042.6276754809687,-13289.573351969806
-4937.808389910742,3060.828981061295,-13365.521164391786
-4943.666389323183,2900.030042283629,-13556.029063491704
-5126.788333116645,3048.131571038642,-13795.856890286976
-5394.479389827417,3245.634126372267,-13875.350056687095
-5602.88531620481,3266.5713537300535,-13952.174572113563
-5686.624949190882,3343.780850978061,-14022.225762925158
-5380.523527087775,3116.380834103707,-14456.058668689988
-5299.267405520087,3092.2593610778845,-14687.657017491443
-2856.3673053005323,1471.7609248201952,-14241.653557507288
-5107.829092968716,2895.8068411428976,-14851.142543548995
-5266.402046356299,2951.810510981204,-15029.82071795427
-5701.446610099367,3274.5718598417825,-15439.879869777722
-3957.4583429813956,2555.2920791461834,-15249.137357213325
-5800.376677203392,3426.913322026776,-15909.322025161402
-5860.2667211134285,3378.4100079778295,-16309.330218477273
-6143.70240984717,3037.076511293942,-16260.65232037762
-6558.50756393904,3027.4373371470406,-15851.808896325183
-6734.747109896707,3234.599575681891,-15920.599061493333
-7022.755011386471,3495.6490673242715,-16160.191180871861
-5728.374597754683,2573.069223799764,-15912.481686681765
-5832.193481969958,2799.410724948962,-16191.262832900558
-5876.209862416797,2978.7355400462284,-16680.114152435195
-6145.218698714847,2919.2429549842723,-16492.56361912493
-6802.727946461305,2909.402448642675,-16232.860532859919
-7080.986299234924,3363.928284373345,-16346.743277211377
-7196.574929621601,3413.302537549579,-16699.570446066737
-6855.952926647178,3149.848170806267,-17295.77837048974
-6276.3055532600265,3632.9249552327888,-17917.308309155953
-6501.673961676645,3773.9290400657283,-18001.317687185838
-9270.136578091424,3880.9603025349643,-16441.02471606814
-7605.983400040276,3744.347341260172,-17892.28419052936
-7787.79835978115,3733.2516852952476,-18250.79773337907
-8367.74836501858,3761.8854077144742,-18137.302170227103
-8677.935979665614,3868.113311607254,-18207.424274735306
-8680.395129857712,3920.1002929964925,-18481.79623825951
-8283.401276310899,3984.829943567162,-19005.00205008122
-6653.439187974285,4127.230407821075,-20279.569250693585
-5718.749895315537,4219.059652385679,-21084.48322445195
-5549.270931247635,4108.164602575754,-21378.93177292029
-6302.466492843305,4786.467011596473,-21225.034720692758
-5772.301763701798,4630.105927739213,-21654.49880992412
-10270.749222144274,4385.351782715603,-19263.23021386561
-7654.46974683696,4210.544901160693,-21037.803302295775
-7486.556442959807,3992.5255834145582,-21707.871653217837
-7036.018706479214,3940.9920644729928,-22354.630819807084
-12658.9943469454,4567.429914514032,-18527.974051156652
-9906.990212078797,4631.529631757663,-21273.380451374796
-7005.297279522252,4329.416447011102,-23373.446100938352
-6902.111458245359,4216.62762279083,-23689.75543246987
-9734.089146274782,5873.997320966094,-24718.448740182816
-7007.283573375491,4154.333620123187,-23998.765336828154
-7643.716596529292,4403.141559350014,-23630.14018147566
-8020.484110844984,4285.786142788377,-24039.085394613918
-9427.197284812439,3721.138526252713,-23940.466943835192
-11772.033324096317,4223.858417663272,-22485.65804321556
-12631.166306214272,4769.730157665423,-22710.662155757476
-13189.955619653985,4777.537807301863,-22994.047959076877
-17670.806224261203,5067.656009226492,-18956.911722171084
-14.318746483380686,-217.2203045907542,94.02059303052752
-23792.174115014343,50.47233629805942,-11484.658288421955
20307.166533403128,-3684.206461227569,16764.77765319735
